,sadness Tweets
419,Not science related Among the many people suffering during the covid19  crisis are artists whos income for the next months evaporated overnight One of them is my friend Antje who is battling the  situation  by creating beautiful music   https youtubeAr1bOyRXp5c  
420,Coronavirus cases continuously increasing Daily cases over 8000 in  India  But Government celebrating its 6 years Hundreds of Migrant Workers died during  Lockdown  some death due to Hunger some accident   Still railway services in  India  are worst during  Lockdown  Lockdown5
421, nsitharamanoffc  RBI  AnuragOffice   what made people to have firm to avoid harassments Dont you see on ground how people getting mentaly sick despite  covid19   situation  hrw pictwittercomj6IiJC7wPa
422,Cant sleep Whats the WM  situation  going to be tomorrow to distarac Im not suffering from money problems due to  covid19  I havent lost anybody to it  I keep thinking tomorrow more deaths lifes needlessly ripped a part and kids losing parentsStay safe 
423,I totally agree about what has been said in the first two weeks of this  Covid19  I was totally beside myself I lost so much wait couldn’t eat properlyI’ve have been wondering as mentioned  About the Cancer    situation especially as just lost a member  Of my family to it
424,Wrong assumptions most of the employees want be back at work They know prolonged  lockdown  will impact their job and earnings Second barring migrant workers lot many r stuck across  India  away from home  family All want no further  extension  Dont narrow down your observations
425,“The virus prevention and control  situation  in Beijing was described as extremely grave on Tuesday by the citys top official”  Those are worrying words   Meanwhile we are STILL in our 1st wave and climbing in many states  covid19  medtwitter httpswww nbcnewscomnewsworldbei jingrampscoronavirusrestrictionscasesspreadnearbyprovincesn1231257   …
426,South Americas COVID19   situation  is continuing to deteriorate Rapidly rising exponential new cases curve already the worst affected region normalized by population Fatalities also on pace to overtake North America soon Graphics using Datagraver  pictwittercomUqtJccMNpP
427,Timeline of a Liberal since Covid  19  Outbreak in  India  1st Mar Impose a Complete  Lockdown  Millions will die by Apr20 1st Apr We are not Testing Enough Millions will die by May20 1st May Why Complete  Lockdown  Economy will crash Millions will die of Hunger by June 20 Lockdown3
428, OperationHaftaVasooli  Pravinkks   RBI  PMOIndia  We have given proofs and all knows how they harrased people for repayment everyone whats the  situation  going on its very difficult to live now more over many people have lost there jobs due to  covid19   pictwittercom8wEzqKSANZ
429,“I hope the intervention did not have too much of an impact because it most likely made the  situation  worse…We could open up again and forget the whole thing»  Epidemiologist Knut Wittkowski on the deadly consequences of lockdown  COVID19  coronavirus httpswww spikedonlinecom20200515we couldopenupagainandforgetthewholething   …
430,PM Modi has only now tweeted about convening an all party meeting on IndiaChina  LACStandoff   situation  on 19th June But so far not one word on killing of at least 20 Indian soldiers  not a tweet no word uttered during video meets with CMs on Covid19  on Tuesday  https twittercommichaelkugelma nstatus1273090175216881664   …
431,Sehen Sie sich das Video unseres 2005 Webinars  über die  Situation  der Covid19  Pandemie  in Südamerika  an  https youtubeR8mEHVAYwpY    Brasilien  Chile  Argentinien  Kolumbien pictwittercom6G3zurrn51
432, RahulGandhi  is very concerned as these are the unprecedented times  He is keeping politics aside and sincerely expects that ruling dispensation to work with all opposition party to protest Indians    Covid19  case 56342 and 1886 deaths  Situation  is precarious  https twittercompriyankagandhi status1258635130802827265   …
433,President TRUMP must recognize that banning OBAMA CARE sounds today like a tremendous error of his administration given the chaotic  situation  Americans are face with regard to  COVID19 
434,Pakistan PM Imran Khan chairs meeting on Inflow outflow  situation  over COVID19   https newsupdcom20200515pak istanpmimrankhanchairsmeetingoninflowoutflowsituationovercovid19   …
435,Because as Elon explained in the current  situation  even if you get your arms and legs ripped off by a shark AND if youre positive to  covid19  the cause of death will be attributed to covid and not to the shark
436, AskCaptain  Sir please pass instructions to all schools of punjab do not open school till the  covid19  is over as our kids are not safe in schools Infants like nursery lkg students unnecessary become victims in this  situation 
437,Mothers or parents single or multiple but u ever been a  situation  where u couldn’t do let’s say laundry for 2 weeks maybe three cuz of covid19  parts got delivered to the area not sure how but watever then rush delivery the other parts still took a week but
438,Its mental he should WANT to update and provide comfort to the nation about the  situation    But instead he seems to hide from the problem COVID19   pictwittercomMZFUNkJ9m1
439,I like the look of these curves basel  had no COVID19  related deaths since 30 April May this last for a long time Schools opened 25 weeks ago so  Coronavirus the  situation  in Switzerland   https bitly2IHgV7c  
440,The  payments to their farmers adding up mirrors  in some ways to our  situation  in 20056   when subsidized   corn going into  subsidized ethanol  plantsbut it’s also differentre COVID19  in an  election yearexpect more for  farmers MFP   farmers  https twittercomopeningprints tatus1262807174981595136   …
441,Just had a converstion with different celebrities who are suffering from COVID19  and assured them that Sindh Govt is with them in this challengeing  situation I pray for everyone affected by  covid19  and wish them good health  speedy recovery   StayHomeStaySafe  StayAtHome
442,see how ineffective the  lockdown  has been in  India  and by  extension  how inefficient the governance has been in executing the  lockdown  But they say graphs only tell half the story The other half of the story is one of utter apathy  lack of considerationkindness on part of Govt  pictwittercomsNi6t9Leip
443,PM narendramodi  holds 5th meeting with State Chief Ministers via video conferencing on COVID19   situation  today IndiaFightsCOVID19   IndiaFightsCorona  TogetherWeCan pictwittercomCDG48mMqp2
444,Where is AmitShah  any Idea   completely quarantined since   Lockdown 1 Lockdown 2 Lockdown 3 Lockdown 4  Who is Indias Home Minister Not even talk of tranquility to indians during the pandemic  Covid19   situation yyyy  BJPfails  AmitShahKahanHo
445,After a week off Dr Steve of weirdmedicine  is back with a new COVID19   Situation  Report This week he breaks down the latest in cases Also what is herd immunity Additionally the latest on promising treatments All in this weeks SitRep  httpswww youtubecomwatchvQqBECb RG6A0   …
